experiment_id,Imbalance ratio,Model,Sampler,Feature,Group,Role,Threshold used,DIR,n_samples,favourable_label_rate,default_label_rate
33,0.02,RandomForestClassifier,KMeansSMOTE,annual_inc,lower annual income,unprivileged,11.082157933374816,1.4004055659426158,678821.0,0.6047779900739665,0.3952220099260335
34,0.02,RandomForestClassifier,ClassWeight,emp_length,emp_length < 5 years,unprivileged,5.0,0.9995308337069796,330252.0,0.979712461998716,0.0202875380012838
34,0.02,RandomForestClassifier,ClassWeight,emp_length,emp_length >= 5 years,privileged,5.0,0.9995308337069796,548728.0,0.9801723258153402,0.0198276741846597
34,0.02,RandomForestClassifier,ClassWeight,annual_inc,higher annual income,privileged,11.082157933374816,0.9947127390296532,458903.0,0.982482136747853,0.0175178632521469
34,0.02,RandomForestClassifier,ClassWeight,annual_inc,lower annual income,unprivileged,11.082157933374816,0.9947127390296532,420077.0,0.9772874972921632,0.0227125027078368
35,0.02,NeuralNetClassifier,Baseline,emp_length,emp_length < 5 years,unprivileged,5.0,0.9995308337069796,330252.0,0.979712461998716,0.0202875380012838
35,0.02,NeuralNetClassifier,Baseline,emp_length,emp_length >= 5 years,privileged,5.0,0.9995308337069796,548728.0,0.9801723258153402,0.0198276741846597
35,0.02,NeuralNetClassifier,Baseline,annual_inc,higher annual income,privileged,11.082157933374816,0.9947127390296532,458903.0,0.982482136747853,0.0175178632521469
35,0.02,NeuralNetClassifier,Baseline,annual_inc,lower annual income,unprivileged,11.082157933374816,0.9947127390296532,420077.0,0.9772874972921632,0.0227125027078368
36,0.02,NeuralNetClassifier,RandomUnderSampler,emp_length,emp_length < 5 years,unprivileged,5.0,0.9900054982294476,13317.0,0.496883682511076,0.5031163174889239
36,0.02,NeuralNetClassifier,RandomUnderSampler,emp_length,emp_length >= 5 years,privileged,5.0,0.9900054982294476,21843.0,0.5018999221718629,0.4981000778281371
36,0.02,NeuralNetClassifier,RandomUnderSampler,annual_inc,higher annual income,privileged,11.082157933374816,0.8745055543419739,17256.0,0.5341330551692165,0.4658669448307835
36,0.02,NeuralNetClassifier,RandomUnderSampler,annual_inc,lower annual income,unprivileged,11.082157933374816,0.8745055543419739,17904.0,0.4671023235031278,0.5328976764968723
37,0.02,NeuralNetClassifier,SMOTEENN,emp_length,emp_length < 5 years,unprivileged,5.0,0.955030399637084,612795.0,0.4435251593110257,0.5564748406889742
37,0.02,NeuralNetClassifier,SMOTEENN,emp_length,emp_length >= 5 years,privileged,5.0,0.955030399637084,971115.0,0.4644094674678076,0.5355905325321924
37,0.02,NeuralNetClassifier,SMOTEENN,annual_inc,higher annual income,privileged,11.082157933374816,0.7844817433048584,745273.0,0.5151092284303872,0.4848907715696127
37,0.02,NeuralNetClassifier,SMOTEENN,annual_inc,lower annual income,unprivileged,11.082157933374816,0.7844817433048584,838637.0,0.4040937855114906,0.5959062144885093
38,0.02,NeuralNetClassifier,KMeansSMOTE,emp_length,emp_length < 5 years,unprivileged,5.0,1.208443112255362,572592.0,0.5650655265878671,0.4349344734121328
38,0.02,NeuralNetClassifier,KMeansSMOTE,emp_length,emp_length >= 5 years,privileged,5.0,1.208443112255362,1150236.0,0.4675979538112179,0.5324020461887822
38,0.02,NeuralNetClassifier,KMeansSMOTE,annual_inc,higher annual income,privileged,11.082157933374816,1.4004055659426158,1044007.0,0.431859173358033,0.568140826641967
38,0.02,NeuralNetClassifier,KMeansSMOTE,annual_inc,lower annual income,unprivileged,11.082157933374816,1.4004055659426158,678821.0,0.6047779900739665,0.3952220099260335
39,0.02,NeuralNetClassifier,ClassWeight,emp_length,emp_length < 5 years,unprivileged,5.0,0.9995308337069796,330252.0,0.979712461998716,0.0202875380012838
39,0.02,NeuralNetClassifier,ClassWeight,emp_length,emp_length >= 5 years,privileged,5.0,0.9995308337069796,548728.0,0.9801723258153402,0.0198276741846597
39,0.02,NeuralNetClassifier,ClassWeight,annual_inc,higher annual income,privileged,11.082157933374816,0.9947127390296532,458903.0,0.982482136747853,0.0175178632521469
39,0.02,NeuralNetClassifier,ClassWeight,annual_inc,lower annual income,unprivileged,11.082157933374816,0.9947127390296532,420077.0,0.9772874972921632,0.0227125027078368
40,0.05,XGBClassifier,Baseline,emp_length,emp_length < 5 years,unprivileged,5.0,0.999361471031904,341017.0,0.9496212798775427,0.0503787201224572
40,0.05,XGBClassifier,Baseline,emp_length,emp_length >= 5 years,privileged,5.0,0.999361471031904,565720.0,0.9502280279997172,0.0497719720002828
40,0.05,XGBClassifier,Baseline,annual_inc,higher annual income,privileged,11.082157933374816,0.9864990792155957,471552.0,0.9561957111834962,0.0438042888165038
40,0.05,XGBClassifier,Baseline,annual_inc,lower annual income,unprivileged,11.082157933374816,0.9864990792155957,435185.0,0.9432861886324206,0.0567138113675793
41,0.05,XGBClassifier,RandomUnderSampler,emp_length,emp_length < 5 years,unprivileged,5.0,0.9987349661125244,34333.0,0.4996067922989544,0.5003932077010457
41,0.05,XGBClassifier,RandomUnderSampler,emp_length,emp_length >= 5 years,privileged,5.0,0.9987349661125244,56341.0,0.500239612360448,0.499760387639552
41,0.05,XGBClassifier,RandomUnderSampler,annual_inc,higher annual income,privileged,11.082157933374816,0.8784313355998709,44249.0,0.5331871906709756,0.4668128093290243
41,0.05,XGBClassifier,RandomUnderSampler,annual_inc,lower annual income,unprivileged,11.082157933374816,0.8784313355998709,46425.0,0.4683683360258481,0.5316316639741518
42,0.05,XGBClassifier,SMOTEENN,emp_length,emp_length < 5 years,unprivileged,5.0,0.948619225979481,568936.0,0.4006443607013794,0.5993556392986206
